contig_length	completeness	type	type2
10960	31.7	SiPs-S	SiPs
12099	22.3	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
14766	22.24	SiPs-S	SiPs
44119	100	SiPs-L	SiPs
52993	100	SiPs-L	SiPs
45832	100	SiPs-L	SiPs
47826	100	SiPs-L	SiPs
38677	100	SiPs-L	SiPs
37058	99.89	SiPs-L	SiPs
50687	100	SiPs-L	SiPs
11863	100	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
37235	100	SiPs-L	SiPs
10788	34.47	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
40064	99.66	SiPs-L	SiPs
14509	54.27	SiPs-S	SiPs
40188	100	SiPs-L	SiPs
39497	100	SiPs-L	SiPs
13477	100	SiPs-S	SiPs
12147	18.81	SiPs-S	SiPs
30496	100	SiPs-L	SiPs
7450	23.2	SiPs-S	SiPs
17539	46.4	SiPs-S	SiPs
11434	27.14	SiPs-S	SiPs
57000	100	SiPs-L	SiPs
6777	63.48	SiPs-S	SiPs
53397	100	SiPs-L	SiPs
19886	44.28	SiPs-S	SiPs
20626	44.18	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
42785	100	SiPs-L	SiPs
8076	92.59	SiPs-S	SiPs
11788	100	SiPs-S	SiPs
38669	98.95	SiPs-L	SiPs
32516	92.71	SiPs-L	SiPs
37626	100	SiPs-L	SiPs
11054	32.43	SiPs-S	SiPs
39453	100	SiPs-L	SiPs
37058	99.89	SiPs-L	SiPs
28714	95.12	SiPs-S	SiPs
34938	100	SiPs-L	SiPs
9448	100	SiPs-S	SiPs
10883	100	SiPs-S	SiPs
37058	99.89	SiPs-L	SiPs
14395	100	SiPs-S	SiPs
11886	100	SiPs-S	SiPs
50746	100	SiPs-L	SiPs
19474	30.88	SiPs-S	SiPs
14664	39.19	SiPs-S	SiPs
14188	30.34	SiPs-S	SiPs
47697	100	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
43359	100	SiPs-L	SiPs
46318	96.69	SiPs-L	SiPs
47162	100	SiPs-L	SiPs
37922	100	SiPs-L	SiPs
37198	99.36	SiPs-L	SiPs
39564	66.8	SiPs-L	SiPs
10337	77.15	SiPs-S	SiPs
30766	100	SiPs-L	SiPs
56079	100	SiPs-L	SiPs
33810	100	SiPs-L	SiPs
35502	100	SiPs-L	SiPs
37182	100	SiPs-L	SiPs
47365	100	SiPs-L	SiPs
41896	100	SiPs-L	SiPs
40064	99.66	SiPs-L	SiPs
15787	39.04	SiPs-S	SiPs
44763	100	SiPs-L	SiPs
54505	100	SiPs-L	SiPs
34616	94.1	SiPs-L	SiPs
22992	62.48	SiPs-S	SiPs
38502	100	SiPs-L	SiPs
40439	100	SiPs-L	SiPs
36082	100	SiPs-L	SiPs
37405	98	SiPs-L	SiPs
37407	98.01	SiPs-L	SiPs
39736	100	SiPs-L	SiPs
11089	32.53	SiPs-S	SiPs
9738	13.36	SiPs-S	SiPs
38570	100	SiPs-L	SiPs
10231	25.86	SiPs-S	SiPs
20488	42.02	SiPs-S	SiPs
35244	95	SiPs-L	SiPs
9738	13.36	SiPs-S	SiPs
